"units","brand","flavor","grain","promo","ad","volume","price"
10,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.06,0.5
6,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"A",0.06,0.5
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.12,1.05
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.98,3.5
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.98,2.99
22,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"B",0.98,2.48
20,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"B",0.8,3.19
23,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",0.8,1.77
12,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",0.8,2.5
17,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.58
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",0.8,2.5
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"A",0.8,3.49
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.49
21,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,2.79
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.26
13,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"A",0.8,3.26
13,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.69
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.89
14,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.19
7,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.49
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.19
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.79
